项目名称,项目编码,建设单位,项目主管部门,立项时间,概算批复金额,预计开工时间,预计完工时间,项目状态
南城区医院建设工程五期,UC20250001,文化建设集团,市城市管理局,2023-03-01,13153.33,2023-08-11,2024-05-24,在建
滨海新区住宅小区建设二期,UC20250002,文化建设集团,市发展和改革委员会,2023-12-08,15577.7,2024-03-25,2025-06-19,续建
开发区图书馆建设一期,UC20250003,住房建设集团,市园林绿化局,2023-05-02,6228.91,2023-07-28,2026-07-10,暂停
南城区排水管网工程四期,UC20250004,公共设施建设集团,市体育局,2024-05-01,1197.02,2024-06-01,2026-07-15,完工
山区污水处理厂建设四期,UC20250005,公共设施建设集团,市文化和旅游局,2023-06-07,17553.7,2023-07-22,2024-09-17,续建
东城区隧道建设工程五期,UC20250006,基础设施建设公司,市交通运输局,2024-02-17,12966.97,2024-03-31,2024-12-25,完工
生态城区体育中心建设一期,UC20250007,基础设施建设公司,市教育局,2023-09-18,5263.45,2023-12-15,2024-09-29,完工
西城区桥梁建设工程二期,UC20250008,公共设施建设集团,市住房和城乡建设局,2023-01-14,9513.51,2023-05-05,2025-01-23,在建
生态城区学校建设工程三期,UC20250009,园林绿化建设集团,市规划和自然资源局,2024-03-27,12468.79,2024-06-25,2025-05-09,完工
山区住宅小区建设一期,UC20250010,公共设施建设集团,市教育局,2023-02-14,15899.97,2023-04-12,2024-08-20,暂停
滨海新区医院建设工程五期,UC20250011,基础设施建设公司,市发展和改革委员会,2024-06-25,15502.96,2024-09-09,2026-10-12,暂停
生态城区医院建设工程一期,UC20250012,公共设施建设集团,市体育局,2024-02-17,12670.16,2024-04-25,2025-08-21,续建
东城区广场建设工程二期,UC20250013,水务建设集团公司,市文化和旅游局,2023-08-12,7687.92,2023-11-09,2024-11-15,暂停
经济技术开发区隧道建设工程二期,UC20250014,园林绿化建设集团,市住房和城乡建设局,2023-04-19,17729.54,2023-08-09,2024-07-01,在建
西城区体育中心建设二期,UC20250015,市政建设集团有限公司,市发展和改革委员会,2024-06-11,3763.22,2024-11-13,2025-05-19,暂停
生态城区公交站台建设五期,UC20250016,教育建设投资公司,市住房和城乡建设局,2024-03-29,5193.74,2024-07-03,2025-01-13,在建
新区博物馆建设三期,UC20250017,市政建设集团有限公司,市体育局,2024-04-02,14150.93,2024-05-30,2027-03-26,续建
工业园区体育中心建设四期,UC20250018,文化建设集团,市生态环境局,2023-05-15,9233.4,2023-08-19,2026-05-18,暂停
开发区文化中心建设三期,UC20250019,环保建设投资公司,市园林绿化局,2024-06-10,3472.43,2024-07-16,2026-05-07,完工
