项目编码,项目名称,一般债券,专项债券,债券资金合计,其他资金,资金总计
UC20250001,南城区医院建设工程五期,0.00,10552.18,10552.18,10748.88,21301.06
UC20250002,滨海新区住宅小区建设二期,0.00,0.00,0.00,14025.92,14025.92
UC20250003,开发区图书馆建设一期,0.00,774.92,774.92,7164.52,7939.44
UC20250004,南城区排水管网工程四期,0.00,584.80,584.80,1206.24,1791.04
UC20250005,山区污水处理厂建设四期,954.32,0.00,954.32,10729.70,11684.02
UC20250006,东城区隧道建设工程五期,0.00,0.00,0.00,27321.14,27321.14
UC20250007,生态城区体育中心建设一期,0.00,0.00,0.00,8625.57,8625.57
UC20250008,西城区桥梁建设工程二期,0.00,0.00,0.00,5795.77,5795.77
UC20250009,生态城区学校建设工程三期,4222.32,0.00,4222.32,34933.18,39155.50
UC20250010,山区住宅小区建设一期,0.00,11287.92,11287.92,7576.03,18863.95
UC20250011,滨海新区医院建设工程五期,5463.45,0.00,5463.45,25161.31,30624.76
UC20250012,生态城区医院建设工程一期,4774.11,0.00,4774.11,39617.68,44391.79
UC20250013,东城区广场建设工程二期,1766.22,4340.56,6106.78,6987.14,13093.92
UC20250014,经济技术开发区隧道建设工程二期,0.00,0.00,0.00,10539.64,10539.64
UC20250015,西城区体育中心建设二期,0.00,0.00,0.00,1777.97,1777.97
UC20250016,生态城区公交站台建设五期,0.00,0.00,0.00,3910.57,3910.57
UC20250017,新区博物馆建设三期,0.00,722.17,722.17,18926.04,19648.21
UC20250018,工业园区体育中心建设四期,3363.57,0.00,3363.57,9752.73,13116.30
UC20250019,开发区文化中心建设三期,0.00,0.00,0.00,3155.81,3155.81
UC20250020,东城区排水管网工程三期,0.00,6406.67,6406.67,3518.91,9925.58
UC20250021,滨海新区隧道建设工程一期,0.00,449.98,449.98,1917.04,2367.02
UC20250022,科技园区文化中心建设一期,5136.99,0.00,5136.99,24055.10,29192.09
UC20250023,新区医院建设工程三期,6200.55,0.00,6200.55,13839.86,20040.41
UC20250024,经济技术开发区桥梁建设工程四期,0.00,15026.28,15026.28,33199.74,48226.02
UC20250025,高新区排水管网工程四期,0.00,0.00,0.00,16479.45,16479.45
UC20250026,高新区停车场建设三期,3769.38,18795.64,22565.02,30675.39,53240.41
UC20250027,南城区供水管网工程四期,0.00,0.00,0.00,35615.67,35615.67
UC20250028,开发区医院建设工程四期,0.00,980.67,980.67,2297.17,3277.84
UC20250029,工业园区供水管网工程一期,0.00,5048.50,5048.50,19324.27,24372.77
UC20250030,新区图书馆建设三期,0.00,578.15,578.15,2096.72,2674.87
UC20250031,开发区地铁建设工程二期,8691.77,3797.89,12489.66,19446.01,31935.67
UC20250032,科技园区桥梁建设工程一期,0.00,939.77,939.77,2716.30,3656.07
UC20250033,中心区学校建设工程四期,0.00,0.00,0.00,1978.74,1978.74
UC20250034,山区排水管网工程五期,0.00,0.00,0.00,24211.58,24211.58
UC20250035,工业园区图书馆建设四期,0.00,4059.62,4059.62,22596.13,26655.75
UC20250036,南城区商业综合体建设三期,0.00,13204.74,13204.74,8202.75,21407.49
UC20250037,西城区商业综合体建设一期,0.00,238.34,238.34,560.63,798.97
UC20250038,科技园区隧道建设工程三期,0.00,0.00,0.00,41631.43,41631.43
UC20250039,开发区公园绿化工程五期,4846.82,3954.97,8801.79,10399.48,19201.27
UC20250040,中心区道路建设工程一期,122.23,0.00,122.23,1758.20,1880.43
UC20250041,北城区博物馆建设一期,0.00,0.00,0.00,4157.70,4157.70
UC20250042,北城区商业综合体建设五期,9888.36,0.00,9888.36,0.00,9888.36
UC20250043,山区桥梁建设工程二期,0.00,0.00,0.00,4483.91,4483.91
UC20250044,高新区道路建设工程一期,3131.76,0.00,3131.76,8309.86,11441.62
UC20250045,科技园区医院建设工程一期,0.00,0.00,0.00,4842.74,4842.74
UC20250046,南城区公交站台建设四期,2688.11,4180.46,6868.57,6332.84,13201.41
UC20250047,科技园区住宅小区建设三期,4601.60,969.24,5570.84,9471.84,15042.68
UC20250048,山区住宅小区建设二期,0.00,0.00,0.00,32811.84,32811.84
UC20250049,山区停车场建设四期,8951.19,8425.36,17376.55,11143.65,28520.20
UC20250050,东城区商业综合体建设三期,4781.72,15587.18,20368.90,28190.39,48559.29
UC20250051,开发区广场建设工程三期,0.00,2940.53,2940.53,38978.34,41918.87
UC20250052,经济技术开发区文化中心建设二期,2639.61,1560.98,4200.59,2000.31,6200.90
UC20250053,生态城区博物馆建设四期,0.00,8641.24,8641.24,7295.93,15937.17
UC20250054,山区污水处理厂建设四期,0.00,0.00,0.00,4674.79,4674.79
UC20250055,经济技术开发区商业综合体建设一期,9156.90,4501.36,13658.26,19088.98,32747.24
UC20250056,东城区地铁建设工程五期,1922.73,1332.22,3254.95,12572.93,15827.88
UC20250057,南城区学校建设工程五期,4659.27,0.00,4659.27,10683.87,15343.14
UC20250058,工业园区地铁建设工程四期,1002.19,0.00,1002.19,4039.18,5041.37
UC20250059,开发区排水管网工程三期,0.00,1663.34,1663.34,11286.23,12949.57
UC20250060,西城区图书馆建设四期,0.00,0.00,0.00,12799.73,12799.73
UC20250061,开发区商业综合体建设二期,4359.85,3958.58,8318.43,16236.81,24555.24
UC20250062,工业园区文化中心建设五期,0.00,0.00,0.00,6202.50,6202.50
UC20250063,中心区污水处理厂建设五期,0.00,0.00,0.00,15049.62,15049.62
UC20250064,开发区广场建设工程五期,0.00,2257.44,2257.44,2702.43,4959.87
UC20250065,科技园区道路建设工程一期,0.00,0.00,0.00,799.77,799.77
UC20250066,新区桥梁建设工程四期,0.00,0.00,0.00,11624.00,11624.00
UC20250067,科技园区商业综合体建设四期,1604.31,1350.81,2955.12,3180.22,6135.34
UC20250068,新区商业综合体建设三期,0.00,7031.79,7031.79,25455.42,32487.21
UC20250069,山区排水管网工程五期,0.00,11968.63,11968.63,11861.21,23829.84
UC20250070,西城区图书馆建设二期,2249.71,0.00,2249.71,5400.63,7650.34
UC20250071,东城区供水管网工程五期,1196.67,0.00,1196.67,4075.11,5271.78
UC20250072,科技园区桥梁建设工程一期,871.04,787.15,1658.19,3662.88,5321.07
UC20250073,北城区住宅小区建设四期,0.00,14539.43,14539.43,5650.08,20189.51
UC20250074,开发区住宅小区建设一期,0.00,0.00,0.00,8942.07,8942.07
UC20250075,科技园区公园绿化工程四期,5177.10,7041.37,12218.47,4956.95,17175.42
UC20250076,经济技术开发区广场建设工程二期,0.00,8517.75,8517.75,20426.47,28944.22
UC20250077,山区公园绿化工程五期,0.00,2111.59,2111.59,11914.82,14026.41
UC20250078,科技园区地铁建设工程四期,3185.26,1278.51,4463.77,27562.36,32026.13
UC20250079,中心区隧道建设工程一期,0.00,3036.12,3036.12,8960.11,11996.23
UC20250080,生态城区道路建设工程四期,0.00,0.00,0.00,3650.66,3650.66
UC20250081,经济技术开发区停车场建设四期,5551.09,0.00,5551.09,16650.75,22201.84
