项目名称,项目编码,建设单位,项目主管部门,概算批复金额,资金批复金额,批复日期,资金性质,经办人,经办处室
南城区医院建设工程五期,UC20250001,文化建设集团,市城市管理局,13153.33,6395.36,2023-04-13,专项债券,高建国,投资建设处
滨海新区住宅小区建设二期,UC20250002,文化建设集团,市发展和改革委员会,15577.7,6102.2,2023-12-29,中央综合财力,孙海涛,招投标管理处
开发区图书馆建设一期,UC20250003,住房建设集团,市园林绿化局,6228.91,4351.74,2023-07-12,中央综合财力,杨文华,计划财务处
南城区排水管网工程四期,UC20250004,公共设施建设集团,市体育局,1197.02,841.95,2024-06-25,土地出让金,钱国强,综合管理处
山区污水处理厂建设四期,UC20250005,公共设施建设集团,市文化和旅游局,17553.7,2544.3,2023-08-22,中央预算内投资,郭建华,综合管理处
东城区隧道建设工程五期,UC20250006,基础设施建设公司,市交通运输局,12966.97,8483.38,2024-05-02,中央预算内投资,陈志刚,工程建设处
生态城区体育中心建设一期,UC20250007,基础设施建设公司,市教育局,5263.45,2818.29,2023-12-11,中央综合财力,郭建华,项目管理处
西城区桥梁建设工程二期,UC20250008,公共设施建设集团,市住房和城乡建设局,9513.51,1463.4,2023-02-06,中央补助,郭建华,工程建设处
生态城区学校建设工程三期,UC20250009,园林绿化建设集团,市规划和自然资源局,12468.79,7707.76,2024-04-16,中央补助,刘建国,资金管理处
山区住宅小区建设一期,UC20250010,公共设施建设集团,市教育局,15899.97,5737.46,2023-04-16,专项债券,吴德华,资金管理处
滨海新区医院建设工程五期,UC20250011,基础设施建设公司,市发展和改革委员会,15502.96,6926.62,2024-08-12,土地出让金,赵文博,计划财务处
生态城区医院建设工程一期,UC20250012,公共设施建设集团,市体育局,12670.16,9828.32,2024-02-26,中央预算内投资,邓文华,工程建设处
东城区广场建设工程二期,UC20250013,水务建设集团公司,市文化和旅游局,7687.92,806.01,2023-09-03,专项债券,朱建平,审计监察处
经济技术开发区隧道建设工程二期,UC20250014,园林绿化建设集团,市住房和城乡建设局,17729.54,3410.21,2023-07-14,土地出让金,何志远,综合管理处
西城区体育中心建设二期,UC20250015,市政建设集团有限公司,市发展和改革委员会,3763.22,1777.97,2024-08-10,省级补助,曹建军,工程建设处
生态城区公交站台建设五期,UC20250016,教育建设投资公司,市住房和城乡建设局,5193.74,540.15,2024-06-03,中央预算内投资,彭志明,招投标管理处
新区博物馆建设三期,UC20250017,市政建设集团有限公司,市体育局,14150.93,9418.23,2024-06-11,中央补助,杨文华,资金管理处
工业园区体育中心建设四期,UC20250018,文化建设集团,市生态环境局,9233.4,1081.09,2023-07-31,土地出让金,吴德华,规划设计处
开发区文化中心建设三期,UC20250019,环保建设投资公司,市园林绿化局,3472.43,1211.47,2024-07-06,中央补助,彭志明,审计监察处
东城区排水管网工程三期,UC20250020,水务建设集团公司,市发展和改革委员会,6587.12,2554.15,2023-06-04,专项债券,张建华,综合管理处
滨海新区隧道建设工程一期,UC20250021,基础设施建设公司,市规划和自然资源局,1493.28,449.98,2024-05-30,专项债券,刘建国,资金管理处
科技园区文化中心建设一期,UC20250022,园林绿化建设集团,市城市管理局,17899.28,5136.99,2023-12-25,一般债券,马建设,投资建设处
新区医院建设工程三期,UC20250023,医疗建设发展公司,市体育局,14833.68,6200.55,2023-08-05,一般债券,李明强,工程建设处
经济技术开发区桥梁建设工程四期,UC20250024,交通建设发展集团,市体育局,19706.26,6414.89,2024-07-09,省级补助,高建国,工程建设处
高新区排水管网工程四期,UC20250025,市政建设集团有限公司,市城市管理局,17683.31,11257.72,2023-01-31,中央补助,张建华,质量安全处
高新区停车场建设三期,UC20250026,环保建设投资公司,市城市管理局,19806.41,14178.94,2024-07-08,中央补助,高建国,招投标管理处
南城区供水管网工程四期,UC20250027,城市投资建设集团,市规划和自然资源局,15862.12,1811.74,2024-06-22,中央补助,何志远,计划财务处
开发区医院建设工程四期,UC20250028,交通建设发展集团,市卫生健康委员会,1513.85,980.67,2024-02-17,专项债券,徐文军,招投标管理处
工业园区供水管网工程一期,UC20250029,基础设施建设公司,市城市管理局,13026.24,9181.65,2024-02-21,中央补助,吴德华,投资建设处
新区图书馆建设三期,UC20250030,文化建设集团,市住房和城乡建设局,2777.61,821.59,2024-09-06,省级补助,彭志明,审计监察处
开发区地铁建设工程二期,UC20250031,交通建设发展集团,市规划和自然资源局,16679.2,3681.84,2023-12-13,一般债券,王志远,资金管理处
科技园区桥梁建设工程一期,UC20250032,交通建设发展集团,市体育局,1904.37,434.1,2023-10-17,土地出让金,钱国强,规划设计处
中心区学校建设工程四期,UC20250033,基础设施建设公司,市园林绿化局,7209.01,1604.54,2024-04-19,土地出让金,赵文博,招投标管理处
山区排水管网工程五期,UC20250034,住房建设集团,市城市管理局,18905.57,4403.77,2024-02-14,省级补助,黄志明,质量安全处
工业园区图书馆建设四期,UC20250035,文化建设集团,市水利局,19566.13,5851.92,2024-04-08,中央综合财力,钱国强,计划财务处
南城区商业综合体建设三期,UC20250036,水务建设集团公司,市园林绿化局,15515.9,8184.61,2023-12-21,专项债券,高建国,资金管理处
西城区商业综合体建设一期,UC20250037,环保建设投资公司,市交通运输局,502.58,213.24,2023-04-27,中央补助,李明强,招投标管理处
科技园区隧道建设工程三期,UC20250038,园林绿化建设集团,市生态环境局,18476.73,10652.66,2024-05-20,中央预算内投资,杨文华,投资建设处
开发区公园绿化工程五期,UC20250039,住房建设集团,市规划和自然资源局,11375.17,4846.82,2023-06-07,一般债券,刘建国,资金管理处
中心区道路建设工程一期,UC20250040,水务建设集团公司,市教育局,1376.1,245.04,2023-06-03,中央补助,杨文华,资金管理处
北城区博物馆建设一期,UC20250041,市政建设集团有限公司,市教育局,5614.14,1807.77,2023-06-27,省级补助,彭志明,计划财务处
北城区商业综合体建设五期,UC20250042,教育建设投资公司,市交通运输局,19744.93,4771.21,2024-05-17,一般债券,朱建平,质量安全处
山区桥梁建设工程二期,UC20250043,城市投资建设集团,市卫生健康委员会,3687.82,2781.77,2024-04-21,中央补助,韩志刚,项目管理处
高新区道路建设工程一期,UC20250044,水务建设集团公司,市交通运输局,4605.77,2569.94,2023-02-04,土地出让金,马建设,规划设计处
科技园区医院建设工程一期,UC20250045,文化建设集团,市生态环境局,6084.2,1918.89,2023-05-09,土地出让金,邓文华,规划设计处
南城区公交站台建设四期,UC20250046,环保建设投资公司,市文化和旅游局,5870.42,2573.38,2024-06-19,专项债券,陈志刚,综合管理处
科技园区住宅小区建设三期,UC20250047,水务建设集团公司,市教育局,10085.51,3544.98,2024-04-20,中央综合财力,何志远,审计监察处
山区住宅小区建设二期,UC20250048,教育建设投资公司,市园林绿化局,16282.43,9379.83,2024-03-27,中央补助,王志远,项目管理处
山区停车场建设四期,UC20250049,住房建设集团,市交通运输局,19817.92,4868.71,2023-02-27,中央补助,吴德华,计划财务处
东城区商业综合体建设三期,UC20250050,环保建设投资公司,市卫生健康委员会,16191.13,8092.89,2023-05-15,专项债券,郭建华,计划财务处
开发区广场建设工程三期,UC20250051,环保建设投资公司,市规划和自然资源局,15130.96,7401.5,2024-02-17,中央补助,何志远,工程建设处
经济技术开发区文化中心建设二期,UC20250052,住房建设集团,市交通运输局,3674.35,2063.73,2023-12-05,一般债券,彭志明,质量安全处
生态城区博物馆建设四期,UC20250053,基础设施建设公司,市城市管理局,6660.62,2357.26,2024-04-08,中央补助,刘建国,综合管理处
山区污水处理厂建设四期,UC20250054,基础设施建设公司,市教育局,3819.6,1999.71,2023-05-08,土地出让金,韩志刚,项目管理处
经济技术开发区商业综合体建设一期,UC20250055,水务建设集团公司,市体育局,11577.32,5548.25,2024-07-03,一般债券,朱建平,审计监察处
东城区地铁建设工程五期,UC20250056,医疗建设发展公司,市生态环境局,8423.38,1107.21,2023-02-23,中央补助,邓文华,综合管理处
南城区学校建设工程五期,UC20250057,教育建设投资公司,市卫生健康委员会,12854.33,3771.01,2023-09-16,中央预算内投资,曹建军,质量安全处
工业园区地铁建设工程四期,UC20250058,交通建设发展集团,市文化和旅游局,9412.2,1815.1,2024-06-01,土地出让金,郭建华,项目管理处
开发区排水管网工程三期,UC20250059,园林绿化建设集团,市规划和自然资源局,10416.65,3162.8,2023-08-25,中央补助,曹建军,综合管理处
西城区图书馆建设四期,UC20250060,市政建设集团有限公司,市水利局,9782.2,2524.01,2023-02-23,中央预算内投资,林志强,质量安全处
开发区商业综合体建设二期,UC20250061,医疗建设发展公司,市体育局,11827.18,8427.97,2023-11-27,中央综合财力,林志强,审计监察处
工业园区文化中心建设五期,UC20250062,市政建设集团有限公司,市卫生健康委员会,4909.01,638.45,2023-05-21,中央综合财力,林志强,工程建设处
中心区污水处理厂建设五期,UC20250063,教育建设投资公司,市城市管理局,10237.66,4540.17,2023-06-04,土地出让金,赵文博,项目管理处
开发区广场建设工程五期,UC20250064,医疗建设发展公司,市规划和自然资源局,8411.23,1277.97,2024-07-28,土地出让金,郭建华,质量安全处
科技园区道路建设工程一期,UC20250065,医疗建设发展公司,市规划和自然资源局,1011.49,245.1,2024-07-08,中央预算内投资,黄志明,工程建设处
新区桥梁建设工程四期,UC20250066,环保建设投资公司,市生态环境局,9379.49,6353.06,2023-09-07,中央综合财力,曹建军,审计监察处
科技园区商业综合体建设四期,UC20250067,基础设施建设公司,市交通运输局,3362.63,2058.38,2024-03-28,中央补助,邓文华,工程建设处
新区商业综合体建设三期,UC20250068,教育建设投资公司,市教育局,15761.66,12456.32,2023-04-14,省级补助,高建国,项目管理处
山区排水管网工程五期,UC20250069,园林绿化建设集团,市卫生健康委员会,15997.2,11968.63,2024-09-02,专项债券,杨文华,资金管理处
西城区图书馆建设二期,UC20250070,公共设施建设集团,市发展和改革委员会,4527.63,3415.62,2023-04-19,土地出让金,赵文博,综合管理处
东城区供水管网工程五期,UC20250071,住房建设集团,市交通运输局,2449.48,1696.87,2023-01-23,省级补助,徐文军,资金管理处
科技园区桥梁建设工程一期,UC20250072,公共设施建设集团,市生态环境局,3031.25,306.41,2023-05-01,中央预算内投资,马建设,规划设计处
北城区住宅小区建设四期,UC20250073,公共设施建设集团,市规划和自然资源局,15447.51,10563.58,2023-05-31,专项债券,邓文华,工程建设处
开发区住宅小区建设一期,UC20250074,园林绿化建设集团,市园林绿化局,6621.25,3022.29,2024-07-24,省级补助,曹建军,工程建设处
科技园区公园绿化工程四期,UC20250075,住房建设集团,市城市管理局,10804.52,7041.37,2023-12-25,专项债券,钱国强,项目管理处
经济技术开发区广场建设工程二期,UC20250076,住房建设集团,市体育局,19718.38,4091.39,2023-05-03,中央综合财力,何志远,计划财务处
山区公园绿化工程五期,UC20250077,园林绿化建设集团,市交通运输局,9711.83,2111.59,2023-02-02,专项债券,曹建军,审计监察处
科技园区地铁建设工程四期,UC20250078,公共设施建设集团,市城市管理局,13320.36,8972.81,2023-10-07,中央补助,孙海涛,规划设计处
中心区隧道建设工程一期,UC20250079,交通建设发展集团,市卫生健康委员会,14986.31,8960.11,2023-08-07,中央预算内投资,朱建平,资金管理处
生态城区道路建设工程四期,UC20250080,文化建设集团,市生态环境局,3140.76,1483.56,2023-08-22,省级补助,郭建华,计划财务处
经济技术开发区停车场建设四期,UC20250081,公共设施建设集团,市城市管理局,11579.71,5551.09,2023-10-20,一般债券,孙海涛,资金管理处
山区博物馆建设三期,UC20250082,医疗建设发展公司,市水利局,9010.59,7112.56,2023-04-06,土地出让金,张建华,投资建设处
滨海新区供水管网工程一期,UC20250083,交通建设发展集团,市生态环境局,18496.91,5720.59,2023-03-29,中央综合财力,何志远,招投标管理处
新区停车场建设五期,UC20250084,基础设施建设公司,市规划和自然资源局,12808.92,8495.47,2023-05-01,中央综合财力,钱国强,投资建设处
西城区隧道建设工程二期,UC20250085,环保建设投资公司,市水利局,16589.72,12543.6,2023-12-07,中央综合财力,梁文博,规划设计处
滨海新区污水处理厂建设五期,UC20250086,文化建设集团,市卫生健康委员会,12672.36,7864.34,2024-04-30,省级补助,林志强,计划财务处
